%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1771787204137514829,1.2,0.0,0.0,0.0,0.0,-8.961886298930466e-05
1771787204154304027,1.2,0.0,0.0,0.0,0.0,-8.253120382306633e-05
1771787204170891046,1.2,0.0,0.0,0.0,0.0,-7.52532714676235e-05
1771787204187566757,1.2,0.0,0.0,0.0,0.0,-6.242502326525567e-05
1771787204204355001,1.2,0.0,0.0,0.0,0.0,-5.663665496458137e-05
1771787204220820903,1.2,0.0,0.0,0.0,0.0,-5.2295857830841896e-05
1771787204237676620,1.2,0.0,0.0,0.0,0.0,-4.798618124057796e-05
1771787204254491567,1.2,0.0,0.0,0.0,0.0,-4.3681766066949734e-05
1771787204270884275,1.2,0.0,0.0,0.0,0.0,-3.980763469124682e-05
1771787204287616252,1.2,0.0,0.0,0.0,0.0,-3.625751309455083e-05
1771787204304104804,1.2,0.0,0.0,0.0,0.0,-3.342937702921489e-05
1771787204320901155,1.2,0.0,0.0,0.0,0.0,-3.133784843090126e-05
1771787204337600946,1.2,0.0,0.0,0.0,0.0,-2.8204658179653563e-05
1771787204354183673,1.2,0.0,0.0,0.0,0.0,-2.6143041266468714e-05
1771787204370851039,1.2,0.0,0.0,0.0,0.0,-2.2994620822114342e-05
1771787204387707710,1.2,0.0,0.0,0.0,0.0,-2.169540622620758e-05
1771787204404320955,1.2,0.0,0.0,0.0,0.0,-1.9262001139441765e-05
1771787204421157121,1.2,0.0,0.0,0.0,0.0,-1.869751081828852e-05
1771787204437680244,1.2,0.0,0.0,0.0,0.0,-1.6280080243902262e-05
1771787204454231262,1.2,0.0,0.0,0.0,0.0,-1.5753065594648064e-05
1771787204471266508,1.2,0.0,0.0,0.0,0.0,-1.4035893061148386e-05
1771787204487871408,1.2,0.0,0.0,0.0,0.0,-1.3565943996152185e-05
1771787204504298686,1.2,0.0,0.0,0.0,0.0,-1.1850473887520252e-05
1771787204521049022,1.2,0.0,0.0,0.0,0.0,-1.08404465324341e-05
1771787204537524461,1.2,0.0,0.0,0.0,0.0,-1.0427656857991963e-05
1771787204554376125,1.2,0.0,0.0,0.0,0.0,-9.4200083973206e-06
1771787204571116685,1.2,0.0,0.0,0.0,0.0,-7.686486767077838e-06
1771787204587818861,1.2,0.0,0.0,0.0,0.0,-8.053221321802084e-06
1771787204604468107,1.2,0.0,0.0,0.0,0.0,-7.038213966303886e-06
1771787204620856285,1.1768291192075662,0.0,0.0,0.0,0.0,-6.4315326890884705e-06
1771787204637534856,1.1542338525419356,0.0,0.0,0.0,0.0,-5.476743569321485e-06
1771787204654178619,1.132072644613505,0.0,0.0,0.0,0.0,-6.05321020374916e-06
1771787204670920610,1.110336905418578,0.0,0.0,0.0,0.0,-4.3121951862623575e-06
1771787204687496662,1.0890183464598406,0.0,0.0,0.0,0.0,-4.642841409996379e-06
